06:03.0,1.42163E+12,AAA, ax,-0.76161623, ay,6.479276, az,7.7417507
06:03.0,1.42163E+12,AAA, ax,-0.8839119, ay,6.5087647, az,7.6702
06:03.0,1.42163E+12,AAA, ax,-0.8719368, ay,6.281837, az,7.666757
06:03.1,1.42163E+12,AAA, ax,-0.74829394, ay,6.315367, az,7.693102
06:03.1,1.42163E+12,AAA, ax,-0.79439807, ay,6.4155087, az,8.06433
06:03.1,1.42163E+12,AAA, ax,-0.8878038, ay,6.4205985, az,7.90087
06:03.1,1.42163E+12,AAA, ax,-0.7152127, ay,6.3873672, az,7.701934
06:03.1,1.42163E+12,AAA, ax,-0.6755452, ay,6.305338, az,7.6136174
06:03.2,1.42163E+12,AAA, ax,-0.74380326, ay,6.324648, az,7.657925
06:03.2,1.42163E+12,AAA, ax,-0.84993255, ay,6.3643155, az,7.782616
06:03.2,1.42163E+12,AAA, ax,-0.78377014, ay,6.470145, az,7.450906
06:03.2,1.42163E+12,AAA, ax,-0.74664736, ay,6.299949, az,7.698042
06:03.2,1.42163E+12,AAA, ax,-0.7081773, ay,6.4110184, az,7.6802287
06:03.3,1.42163E+12,AAA, ax,-0.6882687, ay,6.3541365, az,7.782616
06:03.3,1.42163E+12,AAA, ax,-0.80502594, ay,6.3599744, az,7.9119473
06:03.3,1.42163E+12,AAA, ax,-0.7825726, ay,6.4036837, az,7.763456
06:03.3,1.42163E+12,AAA, ax,-0.7414082, ay,6.3810806, az,7.9933777
06:03.3,1.42163E+12,AAA, ax,-0.6912625, ay,6.221213, az,7.7740836
06:03.4,1.42163E+12,AAA, ax,-0.64665526, ay,6.35234, az,7.59326
06:03.4,1.42163E+12,AAA, ax,-0.71700895, ay,6.2137284, az,7.66047
06:03.4,1.42163E+12,AAA, ax,-0.83122146, ay,6.2954583, az,7.7496843
06:03.4,1.42163E+12,AAA, ax,-0.91579556, ay,6.252049, az,7.667206
06:03.4,1.42163E+12,AAA, ax,-0.7569759, ay,6.4104195, az,7.864795
06:03.5,1.42163E+12,AAA, ax,-0.72808594, ay,6.4460454, az,7.763456
06:03.5,1.42163E+12,AAA, ax,-0.8770262, ay,6.4791265, az,7.736063
06:03.5,1.42163E+12,AAA, ax,-0.8390053, ay,6.3795834, az,7.794142
06:03.5,1.42163E+12,AAA, ax,-0.76505905, ay,6.432723, az,7.764653
06:03.5,1.42163E+12,AAA, ax,-0.7379654, ay,6.2989016, az,7.8242292
06:03.6,1.42163E+12,AAA, ax,-0.64949936, ay,6.285729, az,7.7981834
06:03.6,1.42163E+12,AAA, ax,-0.68811905, ay,6.3556333, az,7.7721376
06:03.7,1.42163E+12,AAA, ax,-0.72269714, ay,6.31881, az,7.818392
06:03.7,1.42163E+12,AAA, ax,-0.78661424, ay,6.2912674, az,7.6478963
06:03.7,1.42163E+12,AAA, ax,-0.75458086, ay,6.3741946, az,7.757169
06:03.7,1.42163E+12,AAA, ax,-0.85142946, ay,6.3821282, az,7.8944335
06:03.7,1.42163E+12,AAA, ax,-0.9891431, ay,6.3176126, az,7.7618093
06:03.7,1.42163E+12,AAA, ax,-0.7746391, ay,6.2248054, az,7.706574
06:03.8,1.42163E+12,AAA, ax,-0.7991881, ay,6.3258452, az,7.9611945
06:03.8,1.42163E+12,AAA, ax,-0.7643106, ay,6.369854, az,7.70388
06:03.8,1.42163E+12,AAA, ax,-0.83855623, ay,6.3451552, az,7.6246943
06:03.8,1.42163E+12,AAA, ax,-0.9153465, ay,6.3056374, az,7.6645117
06:03.9,1.42163E+12,AAA, ax,-0.809816, ay,6.356232, az,7.8142004
06:03.9,1.42163E+12,AAA, ax,-0.7008426, ay,6.295608, az,7.700437
06:03.9,1.42163E+12,AAA, ax,-0.7250922, ay,6.2388763, az,7.669152
06:03.9,1.42163E+12,AAA, ax,-0.7406598, ay,6.2593837, az,7.7094183
06:03.9,1.42163E+12,AAA, ax,-0.79260176, ay,6.2358823, az,7.7896514
06:03.9,1.42163E+12,AAA, ax,-0.6879694, ay,6.415359, az,7.8347077
06:03.9,1.42163E+12,AAA, ax,-0.8430469, ay,6.390511, az,7.909552
06:03.9,1.42163E+12,AAA, ax,-0.7113208, ay,6.3236, az,7.7643538
06:04.0,1.42163E+12,AAA, ax,-0.7782317, ay,6.2821364, az,7.5908647
06:04.0,1.42163E+12,AAA, ax,-0.90561676, ay,6.3177624, az,7.666757
06:04.0,1.42163E+12,AAA, ax,-1.0324031, ay,6.534212, az,7.782017
06:04.1,1.42163E+12,AAA, ax,-1.025218, ay,6.382727, az,7.715705
06:04.1,1.42163E+12,AAA, ax,-0.8430469, ay,6.285579, az,7.797585
06:04.1,1.42163E+12,AAA, ax,-0.94453585, ay,6.4036837, az,7.902517
06:04.1,1.42163E+12,AAA, ax,-1.0162368, ay,6.466852, az,7.8644958
06:04.1,1.42163E+12,AAA, ax,-0.9689351, ay,6.5373554, az,7.8077636
06:04.1,1.42163E+12,AAA, ax,-0.868494, ay,6.49185, az,7.6341248
06:04.2,1.42163E+12,AAA, ax,-0.7909552, ay,6.2893214, az,7.633376
06:04.2,1.42163E+12,AAA, ax,-0.79828995, ay,6.3677583, az,7.6122704
06:04.2,1.42163E+12,AAA, ax,-0.9172925, ay,6.260132, az,7.8203373
06:04.2,1.42163E+12,AAA, ax,-0.90816146, ay,6.2762985, az,7.8377013
06:04.2,1.42163E+12,AAA, ax,-0.8497829, ay,6.219117, az,7.8242292
06:04.3,1.42163E+12,AAA, ax,-0.81041473, ay,6.311176, az,7.801477
06:04.3,1.42163E+12,AAA, ax,-0.972827, ay,6.3854213, az,7.786508
06:04.3,1.42163E+12,AAA, ax,-0.7819739, ay,6.440357, az,7.8278217
06:04.3,1.42163E+12,AAA, ax,-0.8783734, ay,6.5345116, az,7.8990736
06:04.3,1.42163E+12,AAA, ax,-1.0367441, ay,6.5514264, az,7.7192974
06:04.3,1.42163E+12,AAA, ax,-0.92283094, ay,6.6228275, az,7.7185493
06:04.4,1.42163E+12,AAA, ax,-1.008902, ay,6.5469356, az,7.757169
06:04.4,1.42163E+12,AAA, ax,-1.0596465, ay,6.47284, az,7.8383
06:04.4,1.42163E+12,AAA, ax,-1.1226654, ay,6.514453, az,7.6492434
06:04.4,1.42163E+12,AAA, ax,-0.96683943, ay,6.3845234, az,7.7010355
06:04.4,1.42163E+12,AAA, ax,-0.934357, ay,6.4021864, az,6.3267436
06:04.5,1.42163E+12,AAA, ax,-0.8560698, ay,6.2888722, az,7.692653
06:04.5,1.42163E+12,AAA, ax,-0.9198372, ay,6.407725, az,8.285271
06:04.5,1.42163E+12,AAA, ax,-1.0404863, ay,6.2993503, az,7.721393
06:04.5,1.42163E+12,AAA, ax,-1.033451, ay,6.2887225, az,8.073611
06:04.6,1.42163E+12,AAA, ax,-1.0154883, ay,6.5749273, az,7.8972774
06:04.6,1.42163E+12,AAA, ax,-0.8807684, ay,6.6285157, az,7.5197625
06:04.6,1.42163E+12,AAA, ax,-0.947829, ay,6.3703027, az,7.7516303
06:04.6,1.42163E+12,AAA, ax,-0.9389973, ay,6.4234424, az,7.894134
06:04.6,1.42163E+12,AAA, ax,-0.82209045, ay,6.2893214, az,7.764653
06:04.6,1.42163E+12,AAA, ax,-0.8282277, ay,6.3195586, az,7.7347155
06:04.7,1.42163E+12,AAA, ax,-0.7515871, ay,6.2810884, az,7.808063
06:04.7,1.42163E+12,AAA, ax,-0.71446425, ay,6.084996, az,7.7249856
06:04.7,1.42163E+12,AAA, ax,-0.85367477, ay,6.2963567, az,7.7495346
