06:02.5,1.42163E+12,AAA, ax,-0.7722441, ay,6.474037, az,7.8107576
06:02.5,1.42163E+12,AAA, ax,-0.82358736, ay,6.5657964, az,7.7308235
06:02.6,1.42163E+12,AAA, ax,-0.7485933, ay,6.3539867, az,7.8383
06:02.6,1.42163E+12,AAA, ax,-0.6987469, ay,6.3942533, az,7.770491
06:02.6,1.42163E+12,AAA, ax,-0.7445517, ay,6.440956, az,7.545958
06:02.6,1.42163E+12,AAA, ax,-0.6200107, ay,6.3554835, az,7.5794883
06:02.6,1.42163E+12,AAA, ax,-0.7475455, ay,6.3709016, az,7.6730437
06:02.6,1.42163E+12,AAA, ax,-0.7789801, ay,6.4629602, az,7.784562
06:02.7,1.42163E+12,AAA, ax,-0.5403763, ay,6.2932134, az,7.857909
06:02.7,1.42163E+12,AAA, ax,-0.7104227, ay,6.3526397, az,7.7285786
06:02.7,1.42163E+12,AAA, ax,-0.78691363, ay,6.3008475, az,7.7390566
06:02.7,1.42163E+12,AAA, ax,-0.83346677, ay,6.382278, az,7.7851605
06:02.7,1.42163E+12,AAA, ax,-0.7337741, ay,6.2170215, az,7.707622
06:02.8,1.42163E+12,AAA, ax,-0.72643936, ay,6.3391676, az,7.680528
06:02.8,1.42163E+12,AAA, ax,-0.76161623, ay,6.2189674, az,7.677235
06:02.8,1.42163E+12,AAA, ax,-0.61656785, ay,6.4478416, az,7.7442956
06:02.8,1.42163E+12,AAA, ax,-0.7262897, ay,6.478827, az,7.7365117
06:02.8,1.42163E+12,AAA, ax,-0.6373746, ay,6.3691053, az,7.7062745
06:02.9,1.42163E+12,AAA, ax,-0.7791298, ay,6.3042903, az,7.6472974
06:02.9,1.42163E+12,AAA, ax,-0.9122031, ay,6.2652216, az,7.842192
06:02.9,1.42163E+12,AAA, ax,-0.7057823, ay,6.433322, az,7.9320054
06:02.9,1.42163E+12,AAA, ax,-0.6860234, ay,6.3592257, az,7.847431
06:03.0,1.42163E+12,AAA, ax,-0.7705975, ay,6.3450055, az,7.5101824
06:03.0,1.42163E+12,AAA, ax,-0.75338334, ay,6.2756996, az,7.661967
06:03.0,1.42163E+12,AAA, ax,-0.78751236, ay,6.2718077, az,7.790699
