41:14.5,1.42111E+12,GGG,gx,0.04263348, gy,0.029843649, gz,-0.008526909
41:14.5,1.42111E+12,GGG,gx,0.00959244, gy,-0.009593239, gz,-0.005329518
41:14.6,1.42111E+12,GGG,gx,-0.05649044, gy,-0.04796353, gz,0
41:14.6,1.42111E+12,GGG,gx,-0.040502686, gy,-0.026646258, gz,-0.017053818
41:14.6,1.42111E+12,GGG,gx,0.026645726, gy,0.01705302, gz,-0.02238307
41:14.7,1.42111E+12,GGG,gx,0.026645726, gy,0.027712055, gz,-0.015988022
41:14.7,1.42111E+12,GGG,gx,-0.034107372, gy,-0.006395315, gz,-0.010659036
41:14.7,1.42111E+12,GGG,gx,-0.07034633, gy,-0.043700077, gz,-0.010659036
41:14.7,1.42111E+12,GGG,gx,-0.04476614, gy,-0.017053818, gz,-0.02238307
41:14.7,1.42111E+12,GGG,gx,0.008526376, gy,0.022382537, gz,-0.02238307
41:14.7,1.42111E+12,GGG,gx,0.026645726, gy,0.019185146, gz,-0.010659036
41:14.8,1.42111E+12,GGG,gx,0, gy,0.001065797, gz,-0.006395315
41:14.8,1.42111E+12,GGG,gx,-0.011724833, gy,-0.003197924, gz,-0.017053818
41:14.8,1.42111E+12,GGG,gx,0.008526376, gy,0.00959244, gz,-0.03090998
41:14.8,1.42111E+12,GGG,gx,0.026645726, gy,0.006394783, gz,-0.02238307
41:14.8,1.42111E+12,GGG,gx,0.013855628, gy,0.010658237, gz,-0.00106633
41:14.8,1.42111E+12,GGG,gx,0.010658237, gy,0.012789832, gz,0.02557993
41:14.9,1.42111E+12,GGG,gx,0.02557993, gy,0.02131674, gz,0.015987223
41:14.9,1.42111E+12,GGG,gx,0.019185146, gy,0.030909447, gz,-0.009593239
41:14.9,1.42111E+12,GGG,gx,-0.015988022, gy,0.012789832, gz,-0.006395315
41:14.9,1.42111E+12,GGG,gx,-0.029844182, gy,0.003197391, gz,-0.002132127
41:14.9,1.42111E+12,GGG,gx,0.011724034, gy,0.007460579, gz,-0.02238307
41:15.0,1.42111E+12,GGG,gx,0.04263348, gy,0.028777853, gz,-0.05542464
41:15.0,1.42111E+12,GGG,gx,0.050094593, gy,0.044765607, gz,-0.0831367
41:15.0,1.42111E+12,GGG,gx,0.071411334, gy,0.09699179, gz,-0.11830986
41:15.0,1.42111E+12,GGG,gx,0.11084822, gy,0.12896757, gz,-0.13749501
41:15.0,1.42111E+12,GGG,gx,0.10445291, gy,0.10871663, gz,-0.14708772
41:15.1,1.42111E+12,GGG,gx,0.13749447, gy,0.14495532, gz,-0.185458
41:15.1,1.42111E+12,GGG,gx,0.21743326, gy,0.17586477, gz,-0.2259607
41:15.1,1.42111E+12,GGG,gx,0.20677476, gy,0.12577018, gz,-0.23022388
41:15.1,1.42111E+12,GGG,gx,0.17693058, gy,0.061818894, gz,-0.22063118
41:15.2,1.42111E+12,GGG,gx,0.18332589, gy,0.03304104, gz,-0.22915809
41:15.2,1.42111E+12,GGG,gx,0.13429682, gy,0.024514131, gz,-0.23768473
41:15.2,1.42111E+12,GGG,gx,0.070345536, gy,0.012789832, gz,-0.23875053
41:15.2,1.42111E+12,GGG,gx,0.06288496, gy,0.022382537, gz,-0.21956538
41:15.2,1.42111E+12,GGG,gx,0.038370293, gy,-0.011724833, gz,-0.1417582
41:15.2,1.42111E+12,GGG,gx,0.007460579, gy,-0.046897735, gz,-0.04263428
41:15.3,1.42111E+12,GGG,gx,0.031975243, gy,0.011724034, gz,-0.03090998
41:15.3,1.42111E+12,GGG,gx,0.087399356, gy,0.061818894, gz,-0.06395155
41:15.3,1.42111E+12,GGG,gx,0.09166281, gy,0.06501655, gz,-0.0852683
41:15.3,1.42111E+12,GGG,gx,0.07354346, gy,0.044765607, gz,-0.08953201
41:15.4,1.42111E+12,GGG,gx,0.05542411, gy,-0.004263721, gz,-0.05542464
41:15.4,1.42111E+12,GGG,gx,0.023448335, gy,-0.03090998, gz,-0.014922224
41:15.4,1.42111E+12,GGG,gx,0.04369928, gy,0.008526376, gz,0.005328985
41:15.4,1.42111E+12,GGG,gx,-0.16094388, gy,0.24834271, gz,0.005328985
41:15.4,1.42111E+12,GGG,gx,0.047962997, gy,0.082070366, gz,0.03304104
41:15.4,1.42111E+12,GGG,gx,0.063950755, gy,-0.034107372, gz,-0.028778385
41:15.5,1.42111E+12,GGG,gx,-0.05542464, gy,-0.033041574, gz,0.011724034
41:15.5,1.42111E+12,GGG,gx,-0.10978296, gy,-0.041568484, gz,0.08633356
41:15.5,1.42111E+12,GGG,gx,-0.017053818, gy,-0.010659036, gz,0.08313616
41:15.5,1.42111E+12,GGG,gx,-0.011724833, gy,0.012789832, gz,0.057555705
41:15.5,1.42111E+12,GGG,gx,-0.09166361, gy,-0.029844182, gz,0.082070366
41:15.6,1.42111E+12,GGG,gx,-0.1406924, gy,-0.062885754, gz,0.11191402
41:15.6,1.42111E+12,GGG,gx,-0.110848755, gy,-0.031975776, gz,0.13323076
41:15.6,1.42111E+12,GGG,gx,-0.068214744, gy,0.028777853, gz,0.13003337
41:15.6,1.42111E+12,GGG,gx,-0.06608315, gy,0.026645726, gz,0.13003337
41:15.6,1.42111E+12,GGG,gx,-0.09059781, gy,-0.041568484, gz,0.15561382
41:15.7,1.42111E+12,GGG,gx,-0.07887298, gy,-0.068214744, gz,0.14282346
41:15.7,1.42111E+12,GGG,gx,-0.04476614, gy,-0.037305295, gz,0.06927974
41:15.7,1.42111E+12,GGG,gx,-0.04796353, gy,-0.046897735, gz,0.023448335
41:15.7,1.42111E+12,GGG,gx,-0.0724782, gy,-0.10125605, gz,0.059687298
41:15.7,1.42111E+12,GGG,gx,-0.10338764, gy,-0.09805839, gz,0.12150646
41:15.8,1.42111E+12,GGG,gx,-0.092729405, gy,-0.073543996, gz,0.13962607
