50:16.8,1.42172E+12,AAA, ax,-1.1912228, ay,4.2478666, az,9.039253
50:16.8,1.42172E+12,AAA, ax,-1.1437715, ay,4.1128473, az,9.241931
50:16.9,1.42172E+12,AAA, ax,-1.0584489, ay,4.0641985, az,9.096883
50:16.9,1.42172E+12,AAA, ax,-0.98944247, ay,4.0022273, az,9.003028
50:16.9,1.42172E+12,AAA, ax,-0.94558364, ay,4.1103024, az,8.994795
50:16.9,1.42172E+12,AAA, ax,-1.0392888, ay,4.036955, az,8.986114
50:17.0,1.42172E+12,AAA, ax,-1.1925701, ay,4.1766148, az,9.116343
50:17.0,1.42172E+12,AAA, ax,-1.3804294, ay,4.0686893, az,9.0937395
50:17.0,1.42172E+12,AAA, ax,-1.2731025, ay,4.148174, az,8.955577
50:17.0,1.42172E+12,AAA, ax,-1.3254936, ay,4.251459, az,8.914263
50:17.0,1.42172E+12,AAA, ax,-1.3129197, ay,4.2563987, az,8.981473
50:17.0,1.42172E+12,AAA, ax,-1.337319, ay,4.199218, az,9.077423
50:17.1,1.42172E+12,AAA, ax,-1.4013858, ay,4.264033, az,9.22801
50:17.1,1.42172E+12,AAA, ax,-1.402733, ay,4.2843904, az,9.013356
50:17.1,1.42172E+12,AAA, ax,-1.4432987, ay,4.1671844, az,9.102122
50:17.1,1.42172E+12,AAA, ax,-1.3684543, ay,4.275409, az,9.051377
50:17.2,1.42172E+12,AAA, ax,-1.2822336, ay,4.221821, az,8.830886
50:17.2,1.42172E+12,AAA, ax,-1.1282039, ay,4.256099, az,8.815168
50:17.2,1.42172E+12,AAA, ax,-1.3602214, ay,4.2608895, az,8.815767
50:17.2,1.42172E+12,AAA, ax,-1.2510983, ay,4.223168, az,8.870105
50:17.3,1.42172E+12,AAA, ax,-1.2771442, ay,4.157305, az,8.840766
50:17.3,1.42172E+12,AAA, ax,-1.2629237, ay,4.2563987, az,8.919801
50:17.3,1.42172E+12,AAA, ax,-1.3711487, ay,4.304449, az,8.948991
50:17.3,1.42172E+12,AAA, ax,-1.2751982, ay,4.13575, az,9.192684
50:17.3,1.42172E+12,AAA, ax,-1.2552896, ay,4.258644, az,9.250314
50:17.3,1.42172E+12,AAA, ax,-1.2843292, ay,4.2727146, az,9.210197
50:17.4,1.42172E+12,AAA, ax,-1.1302996, ay,4.388873, az,8.906329
50:17.4,1.42172E+12,AAA, ax,-1.1326946, ay,4.107908, az,8.831485
50:17.4,1.42172E+12,AAA, ax,-1.1659255, ay,4.2984614, az,8.973689
50:17.4,1.42172E+12,AAA, ax,-1.3172607, ay,4.350104, az,9.110804
50:17.5,1.42172E+12,AAA, ax,-1.2341835, ay,4.252806, az,9.162447
50:17.5,1.42172E+12,AAA, ax,-1.1723621, ay,4.390969, az,9.1114025
50:17.5,1.42172E+12,AAA, ax,-1.2049942, ay,4.1424856, az,8.928483
50:17.5,1.42172E+12,AAA, ax,-1.201252, ay,4.205804, az,8.869506
50:17.6,1.42172E+12,AAA, ax,-1.1665242, ay,4.214037, az,8.98746
50:17.6,1.42172E+12,AAA, ax,-1.3111235, ay,4.3463616, az,9.159902
50:17.6,1.42172E+12,AAA, ax,-1.1737093, ay,4.370761, az,9.077124
