time,time_milisec,ax,ay,az,resultant
12:02.6,1.4211E+12,-0.81700104,2.5744963,9.645941,10.01697058
12:02.6,1.4211E+12,-0.8674461,2.530338,9.642199,10.00635172
12:02.6,1.4211E+12,-0.7020401,2.6146128,9.419013,9.800350315
12:02.6,1.4211E+12,-0.7143146,2.4692652,9.548643,9.888584283
12:02.6,1.4211E+12,-0.80307996,2.5650659,9.649982,10.01731766
12:02.6,1.4211E+12,-0.8339159,2.5756938,9.8833475,10.2474471
12:02.6,1.4211E+12,-0.8571176,2.6041346,9.8817005,10.25495843
12:02.7,1.4211E+12,-0.6471043,2.6690996,9.683363,10.06530455
12:02.7,1.4211E+12,-0.6572832,2.6791286,9.66061,10.04674757
12:02.7,1.4211E+12,-0.5930667,2.5216563,9.6582155,9.999580254
12:02.7,1.4211E+12,-0.7048842,2.5195606,9.763597,10.10805984
12:02.8,1.4211E+12,-0.5797444,2.7481353,9.825119,10.21867479
12:02.8,1.4211E+12,-0.53453845,2.5927584,9.72363,10.07755466
12:02.8,1.4211E+12,-0.4260141,2.5728498,9.605375,9.953103687
12:02.8,1.4211E+12,-0.71820647,2.6397605,9.41587,9.805241654
12:02.8,1.4211E+12,-0.97462326,2.6177564,9.785002,10.17589324
12:02.9,1.4211E+12,-0.6542894,2.5090823,9.881252,10.21580783
12:02.9,1.4211E+12,-0.5071454,2.459236,9.620194,9.942493186
12:02.9,1.4211E+12,-0.5601352,2.518363,9.31453,9.665214574
12:02.9,1.4211E+12,-0.65458876,2.450105,9.148226,9.493236535
12:02.9,1.4211E+12,-0.9937834,2.2059627,9.436377,9.741616281
12:03.0,1.4211E+12,-1.1952645,2.2773643,9.763147,10.09624112
12:03.0,1.4211E+12,-0.93360853,2.4830365,10.387948,10.7213133
12:03.0,1.4211E+12,-0.00239502,2.6725423,9.979747,10.3314006
12:03.0,1.4211E+12,0.4923262,3.8636155,10.151889,10.8733969
12:03.0,1.4211E+12,0.678539,4.1212296,8.974737,9.899032923
12:03.0,1.4211E+12,1.8278489,1.4929953,10.676548,10.9342921
12:03.1,1.4211E+12,3.4591568,3.9219942,8.534652,10.00940003
12:03.1,1.4211E+12,2.2430854,6.3098288,7.722441,10.22161761
12:03.1,1.4211E+12,0.1818718,4.7957273,7.00154,8.488441557
12:03.1,1.4211E+12,-2.0550764,5.503755,5.9929376,8.392255906
12:03.1,1.4211E+12,-3.06802,6.8608327,6.0044637,9.619633901
12:03.2,1.4211E+12,-1.1159294,5.253475,7.5564365,9.270600335
12:03.2,1.4211E+12,0.9331595,4.754563,10.303075,11.38551757
12:03.2,1.4211E+12,0.6538403,4.6985793,10.460248,11.48568425
12:03.3,1.4211E+12,-1.2540921,5.118007,8.599916,10.08589599
12:03.3,1.4211E+12,-2.060166,5.691165,7.8362045,9.901502107
12:03.3,1.4211E+12,-0.468376,5.545368,8.535999,10.18988524
12:03.3,1.4211E+12,-0.5108876,5.3780165,8.943152,10.44815942
12:03.4,1.4211E+12,-1.2774435,4.6660967,9.368717,10.54405892
12:03.4,1.4211E+12,-1.3850697,4.771927,8.495434,9.841854714
12:03.4,1.4211E+12,-0.9134006,5.270989,8.015831,9.636969042
12:03.4,1.4211E+12,-0.7566765,5.283862,7.7746825,9.430665138
12:03.4,1.4211E+12,-0.68662214,4.82327,8.071515,9.427870271
12:03.4,1.4211E+12,-1.499432,5.216652,9.373807,10.8318979
12:03.5,1.4211E+12,-1.2064911,4.810846,9.526639,10.74042414
12:03.5,1.4211E+12,-1.025218,5.2639537,8.678503,10.20179861
12:03.5,1.4211E+12,-1.0832973,5.8752823,8.339607,10.25872897
12:03.5,1.4211E+12,-1.7727635,5.5080957,8.66099,10.41607203
12:03.5,1.4211E+12,-2.0112176,5.521418,8.769962,10.55667023
12:03.5,1.4211E+12,-1.4756314,5.3775673,8.758138,10.38271156
12:03.5,1.4211E+12,-1.045426,5.702841,8.1126795,9.97150338
12:03.6,1.4211E+12,-1.6980689,5.944738,8.21342,10.28025369
12:03.6,1.4211E+12,-1.40902,6.0546093,7.373816,9.644521426
12:03.6,1.4211E+12,-1.2005036,5.70793,8.572523,10.36869444
12:03.6,1.4211E+12,-1.635499,5.71751,8.6876335,10.52804604
12:03.6,1.4211E+12,-1.533561,5.8356147,8.015082,10.03233511
12:03.7,1.4211E+12,-1.0994637,5.7312818,6.6815057,8.871241735
12:03.7,1.4211E+12,-1.495091,5.521568,7.43459,9.380625712
12:03.7,1.4211E+12,-1.9229013,5.1548305,9.509425,10.98630924
12:03.7,1.4211E+12,-1.087788,4.843777,9.844877,11.02574539
12:03.7,1.4211E+12,-1.767225,4.6339135,8.359067,9.719580219
12:03.8,1.4211E+12,-1.8848804,4.556974,7.9020677,9.314583195
12:03.8,1.4211E+12,-1.2942086,3.6962636,8.62701,9.474314859
12:03.8,1.4211E+12,-1.6786094,3.4519715,10.024803,10.73454759
12:03.8,1.4211E+12,-2.199526,4.0965314,11.122471,12.0552414
12:03.8,1.4211E+12,-2.100881,3.7883222,10.196496,11.07852051
12:03.9,1.4211E+12,-1.5188915,2.940036,10.020163,10.55246462
12:03.9,1.4211E+12,-1.4076728,3.1452594,8.964558,9.604035586
12:03.9,1.4211E+12,-1.7280066,4.0954833,8.553812,9.639849065
12:03.9,1.4211E+12,-1.9645147,5.1178575,8.220006,9.880297669
12:03.9,1.4211E+12,-1.6190332,4.450994,9.65642,10.75542018
12:04.0,1.4211E+12,-1.0991642,2.3230193,10.245744,10.56313641
12:04.0,1.4211E+12,-0.8937914,2.0390596,10.496173,10.72969127
12:04.0,1.4211E+12,-0.7048842,3.0085936,11.0299635,11.4546319
12:04.0,1.4211E+12,-0.5999524,3.8208046,11.750864,12.37098603
12:04.0,1.4211E+12,-0.07349716,2.7463388,10.317744,10.67724777
12:04.1,1.4211E+12,0.51807266,1.2223581,8.733588,8.833918607
12:04.1,1.4211E+12,-0.3237767,1.2888199,8.744515,8.844909874
12:04.1,1.4211E+12,-1.2593312,1.8940114,9.799222,10.05971899
12:04.1,1.4211E+12,-1.2969031,2.0320244,9.263935,9.572438169
12:04.1,1.4211E+12,-0.39877075,2.352957,8.769814,9.088732714
12:04.2,1.4211E+12,0.34054184,3.034789,9.048234,9.549683321
12:04.2,1.4211E+12,-0.09071136,2.9970675,9.238788,9.713178978
12:04.2,1.4211E+12,-0.38320312,2.0429516,10.275532,10.48365651
12:04.2,1.4211E+12,-0.23411316,1.830693,10.229129,10.39429295
12:04.2,1.4211E+12,-0.932411,2.08696,9.2554035,9.533482379
12:04.3,1.4211E+12,-0.803529,2.7830126,9.402248,9.838347699
12:04.3,1.4211E+12,-0.42391846,2.5867708,9.240584,9.605179993
12:04.3,1.4211E+12,-0.4447252,2.2373972,9.563762,9.83205321
12:04.3,1.4211E+12,-0.84364563,1.9941531,9.675131,9.914461377
12:04.3,1.4211E+12,-1.4395565,2.4243586,9.695638,10.09728844
12:04.4,1.4211E+12,-1.1385324,2.3555017,9.680519,10.02781593
12:04.4,1.4211E+12,-0.93854827,2.1865032,9.720187,10.00718264
12:04.4,1.4211E+12,-1.1079959,2.3432271,9.639954,9.982338467
12:04.4,1.4211E+12,-1.0870395,2.3447242,9.533375,9.877480718
12:04.4,1.4211E+12,-1.1259586,2.5363257,9.446257,9.845430521
12:04.5,1.4211E+12,-1.0106982,2.5842261,9.610465,10.00303818
12:04.5,1.4211E+12,-1.0559043,2.4716601,9.6582155,10.02522639
12:04.5,1.4211E+12,-1.0915302,2.7229874,9.586814,10.02562224
12:04.5,1.4211E+12,-0.8771759,2.310146,9.724827,10.03386627
12:04.5,1.4211E+12,-0.73751634,2.2079086,9.882449,10.15291037
12:04.6,1.4211E+12,-0.8479866,2.8502228,9.8094015,10.25022971
12:04.6,1.4211E+12,-0.8373587,2.636168,9.775123,10.15891633
12:04.6,1.4211E+12,-1.1837384,2.6711953,10.158924,10.57072645
12:04.6,1.4211E+12,-1.007405,2.5551865,9.760004,10.13910849
12:04.6,1.4211E+12,-0.658331,1.8284477,9.101823,9.306976019
12:04.7,1.4211E+12,-1.1624826,2.4170237,9.854458,10.21291887
12:04.7,1.4211E+12,-1.2590318,2.5277934,10.283765,10.66446075
12:04.7,1.4211E+12,-0.8352631,2.5855732,10.217303,10.57242327
12:04.8,1.4211E+12,-0.9635463,2.4915688,10.108629,10.45565478
12:04.8,1.4211E+12,-0.95187056,2.4132814,9.685908,10.02730265
12:04.8,1.4211E+12,-0.79170364,2.1290226,9.312734,9.585747047
12:04.8,1.4211E+12,-0.9099577,2.4084916,9.14628,9.501752083
12:04.8,1.4211E+12,-0.78466827,2.1835093,9.473799,9.753783094
12:04.8,1.4211E+12,-0.920885,2.3013144,10.003847,10.30635881
12:04.8,1.4211E+12,-1.0267149,2.2489233,10.1575775,10.45409873
12:04.9,1.4211E+12,-0.997825,2.3258634,9.629326,9.956365527
12:04.9,1.4211E+12,-0.8111632,2.3117926,9.623487,9.930451792
12:04.9,1.4211E+12,-0.9780661,2.381847,9.390123,9.73674578
12:04.9,1.4211E+12,-0.8095166,2.5716522,9.284143,9.667679319
12:04.9,1.4211E+12,-0.7873627,2.4816892,9.585617,9.9329137
12:05.0,1.4211E+12,-0.88885164,2.629432,9.508826,9.905641917
12:05.0,1.4211E+12,-0.83182025,2.5969496,9.524544,9.907220123
12:05.0,1.4211E+12,-0.7640112,2.4921675,9.602831,9.95032538
12:05.0,1.4211E+12,-0.947829,2.636168,9.67049,10.06807521
12:05.0,1.4211E+12,-1.1054512,2.7583141,9.675281,10.12133299
12:05.1,1.4211E+12,-1.1557466,2.8859985,9.543704,10.03728168
12:05.1,1.4211E+12,-1.0874885,2.802472,10.04097,10.48129568
12:05.1,1.4211E+12,-1.1362871,2.4399261,9.976304,10.33300679
12:05.1,1.4211E+12,-1.1160791,2.4792943,9.465567,9.848324295
12:05.1,1.4211E+12,-1.1009605,2.9734168,9.064101,9.602668818
12:05.2,1.4211E+12,-1.3989908,3.1689103,9.495355,10.10746923
12:05.2,1.4211E+12,-1.7010627,2.8629465,9.898466,10.44364429
12:05.2,1.4211E+12,-1.4343174,2.5008495,9.792187,10.20776375
12:05.2,1.4211E+12,-1.42339,2.764601,9.618698,10.10882827
12:05.2,1.4211E+12,-1.2774435,3.13538,9.176667,9.781292699
12:05.3,1.4211E+12,-1.1371852,3.635041,8.935967,9.713815907
12:05.3,1.4211E+12,-1.0029144,3.0674212,9.193132,9.743130199
12:05.3,1.4211E+12,-1.2141252,2.705923,9.344768,9.804122003
12:05.3,1.4211E+12,-1.3400134,3.1246023,9.791738,10.36517769
12:05.3,1.4211E+12,-1.251248,3.1103818,10.144255,10.68391342
12:05.4,1.4211E+12,-1.1014096,3.185825,10.227182,10.76837201
12:05.4,1.4211E+12,-0.93196195,3.3343163,9.896819,10.48490556
12:05.4,1.4211E+12,-0.8735834,3.0404773,9.39147,9.90996261
12:05.4,1.4211E+12,-0.9011261,3.1783407,9.44461,10.00572516
12:05.4,1.4211E+12,-0.81415695,3.3352144,9.345516,9.956162712
12:05.5,1.4211E+12,-0.8893007,3.2751892,9.2521105,9.854910894
12:05.5,1.4211E+12,-0.8813672,3.2891102,9.418414,10.01506746
12:05.5,1.4211E+12,-0.80876815,3.1855257,9.428742,9.985131727
12:05.5,1.4211E+12,-0.7246431,3.032544,9.533674,10.0305718
12:05.5,1.4211E+12,-0.66566575,3.0355375,9.542656,10.03592957
12:05.6,1.4211E+12,-0.68767,2.9509635,9.268725,9.751427523
12:05.6,1.4211E+12,-0.404908,3.3379087,9.216334,9.810524827
12:05.6,1.4211E+12,-0.5426216,3.3934433,10.019863,10.59280653
12:05.6,1.4211E+12,-0.7607181,3.166515,9.833201,10.35844347
12:05.6,1.4211E+12,-0.9057664,2.945425,9.474398,9.962939258
12:05.7,1.4211E+12,-0.8851094,3.0205686,9.235944,9.757556809
12:05.7,1.4211E+12,-1.0910811,3.0005105,9.136849,9.678612033
12:05.7,1.4211E+12,-1.0767109,3.177143,9.690548,10.25476789
12:05.7,1.4211E+12,-0.5974077,3.0337412,10.177336,10.63666535
12:05.7,1.4211E+12,-0.7008426,2.9175828,9.926757,10.37034109
12:05.8,1.4211E+12,-1.165177,2.8512707,9.672436,10.15102952
12:05.8,1.4211E+12,-0.9969269,2.943479,9.11754,9.632625162
12:05.8,1.4211E+12,-1.0380913,2.8145971,9.216035,9.692001419
12:05.8,1.4211E+12,-1.0621911,2.669848,9.591005,10.01217834
12:05.8,1.4211E+12,-1.1554472,2.5773404,9.679321,10.08300535
12:05.9,1.4211E+12,-1.140179,2.8253746,9.963431,10.41886304
12:05.9,1.4211E+12,-1.2090358,2.8285182,10.157128,10.61270616
12:05.9,1.4211E+12,-1.2196637,2.6840684,9.983339,10.4095562
12:05.9,1.4211E+12,-1.1960129,2.7442434,9.529484,9.988612717
12:05.9,1.4211E+12,-1.0826985,2.6502388,9.360186,9.788211466
12:06.0,1.4211E+12,-0.8884026,2.6430538,9.206755,9.619736493
12:06.0,1.4211E+12,-0.9129515,2.6152117,9.661359,10.05060547
12:06.0,1.4211E+12,-1.1458671,2.531835,9.950408,10.33120609
12:06.0,1.4211E+12,-1.3154645,2.6834698,9.830807,10.27502911
12:06.0,1.4211E+12,-1.3991405,2.4260051,9.476943,9.882081942
12:06.1,1.4211E+12,-1.5417938,2.4327412,9.187894,9.628746233
