00:16.2,1.42163E+12,AAA, ax,-0.8634045, ay,6.7112937, az,7.390132,gx,0,gy,0,gz,0
00:16.2,1.42163E+12,AAA, ax,-0.86669767, ay,6.675668, az,7.325916,gx,0,gy,0,gz,0
00:16.3,1.42163E+12,AAA, ax,-0.98764616, ay,6.733747, az,7.370074,gx,0,gy,0,gz,0
00:16.3,1.42163E+12,AAA, ax,-0.9592053, ay,6.6620464, az,7.5616755,gx,0,gy,0,gz,0
00:16.3,1.42163E+12,AAA, ax,-0.9662407, ay,6.618337, az,7.475455,gx,0,gy,0,gz,0
00:16.3,1.42163E+12,AAA, ax,-0.9713301, ay,6.566096, az,7.5818834,gx,0,gy,0,gz,0
00:16.3,1.42163E+12,AAA, ax,-0.9931847, ay,6.6045656, az,7.5612264,gx,0,gy,0,gz,0
00:16.4,1.42163E+12,AAA, ax,-0.87373304, ay,6.6672854, az,7.456145,gx,0,gy,0,gz,0
00:16.4,1.42163E+12,AAA, ax,-0.748743, ay,6.6286654, az,7.267088,gx,0,gy,0,gz,0
00:16.4,1.42163E+12,AAA, ax,-0.8342152, ay,6.5533724, az,7.4919205,gx,0,gy,0,gz,0
00:16.4,1.42163E+12,AAA, ax,-0.8231383, ay,6.666537, az,7.4654255,gx,0,gy,0,gz,0
00:16.4,1.42163E+12,AAA, ax,-0.8744815, ay,6.614595, az,7.4853344,gx,0,gy,0,gz,0
00:16.5,1.42163E+12,AAA, ax,-0.8970845, ay,6.6936307, az,7.433841,gx,0,gy,0,gz,0
00:16.5,1.42163E+12,AAA, ax,-0.87118834, ay,6.8859806, az,7.4576416,gx,0,gy,0,gz,0
00:16.5,1.42163E+12,AAA, ax,-0.9277707, ay,6.691984, az,7.3760614,gx,0,gy,0,gz,0
00:16.5,1.42163E+12,AAA, ax,-0.8262817, ay,6.692283, az,7.3317537,gx,0,gy,0,gz,0
00:16.5,1.42163E+12,AAA, ax,-0.9168434, ay,6.777007, az,7.522008,gx,0,gy,0,gz,0
