46:17.6,1.42111E+12,GGG,gx,-0.029844182, gy,-0.028778385, gz,-0.046897735
46:17.6,1.42111E+12,GGG,gx,0.014921425, gy,0.004263188, gz,-0.033041574
46:17.6,1.42111E+12,GGG,gx,0.014921425, gy,-0.015988022, gz,-0.013856427
46:17.7,1.42111E+12,GGG,gx,0.005328985, gy,-0.06075363, gz,-0.020251475
46:17.7,1.42111E+12,GGG,gx,0.024514131, gy,-0.062885754, gz,-0.041568484
46:17.7,1.42111E+12,GGG,gx,0.04263348, gy,-0.033041574, gz,-0.043700077
46:17.7,1.42111E+12,GGG,gx,0.041567683, gy,-0.025580462, gz,-0.03837109
46:17.7,1.42111E+12,GGG,gx,0.05542411, gy,-0.024514664, gz,-0.033041574
46:17.8,1.42111E+12,GGG,gx,0.05542411, gy,-0.027712587, gz,-0.03090998
46:17.8,1.42111E+12,GGG,gx,0.037304495, gy,-0.029844182, gz,-0.035173167
46:17.8,1.42111E+12,GGG,gx,0.03410684, gy,-0.017053818, gz,-0.034107372
46:17.8,1.42111E+12,GGG,gx,0.038370293, gy,0.005328985, gz,-0.024514664
46:17.8,1.42111E+12,GGG,gx,0.018119348, gy,0.006394783, gz,-0.033041574
46:17.9,1.42111E+12,GGG,gx,0.010658237, gy,-0.008526909, gz,-0.05649044
46:17.9,1.42111E+12,GGG,gx,0.006394783, gy,-0.01811988, gz,-0.049029328
46:17.9,1.42111E+12,GGG,gx,-0.004263721, gy,-0.004263721, gz,-0.034107372
46:17.9,1.42111E+12,GGG,gx,0, gy,0.023448335, gz,-0.026646258
46:17.9,1.42111E+12,GGG,gx,0.001065797, gy,0.029843649, gz,-0.01279063
46:18.0,1.42111E+12,GGG,gx,-0.003197924, gy,0.03304104, gz,-0.011724833
46:18.0,1.42111E+12,GGG,gx,0.015987223, gy,0.035172634, gz,-0.037305295
46:18.0,1.42111E+12,GGG,gx,0.026645726, gy,-0.003197924, gz,-0.024514664
46:18.0,1.42111E+12,GGG,gx,0.027712055, gy,-0.009593239, gz,0.001065797
46:18.0,1.42111E+12,GGG,gx,0.020250943, gy,0.004263188, gz,0.014921425
46:18.1,1.42111E+12,GGG,gx,0.020250943, gy,0.013855628, gz,0.006394783
46:18.1,1.42111E+12,GGG,gx,0.013855628, gy,0.007460579, gz,-0.003197924
46:18.1,1.42111E+12,GGG,gx,0.012789832, gy,-0.010659036, gz,-0.006395315
46:18.1,1.42111E+12,GGG,gx,0.019185146, gy,-0.021317273, gz,-0.009593239
46:18.1,1.42111E+12,GGG,gx,0.018119348, gy,-0.006395315, gz,-0.035173167
46:18.2,1.42111E+12,GGG,gx,0.002131594, gy,0.00959244, gz,-0.039436888
46:18.2,1.42111E+12,GGG,gx,-0.011724833, gy,-0.020251475, gz,-0.015988022
46:18.2,1.42111E+12,GGG,gx,0, gy,-0.020251475, gz,-0.024514664
46:18.2,1.42111E+12,GGG,gx,0.020250943, gy,0.014921425, gz,-0.029844182
46:18.2,1.42111E+12,GGG,gx,-0.006395315, gy,0.010658237, gz,0.005328985
46:18.3,1.42111E+12,GGG,gx,-0.005329518, gy,0.008526376, gz,0.013855628
46:18.3,1.42111E+12,GGG,gx,0.014921425, gy,-0.008526909, gz,-0.007461112
46:18.3,1.42111E+12,GGG,gx,-0.006395315, gy,-0.014922224, gz,-0.014922224
46:18.3,1.42111E+12,GGG,gx,-0.014922224, gy,0.00959244, gz,0.001065797
46:18.4,1.42111E+12,GGG,gx,0.014921425, gy,0.012789832, gz,0.010658237
46:18.4,1.42111E+12,GGG,gx,0.038370293, gy,0.005328985, gz,0.002131594
46:18.4,1.42111E+12,GGG,gx,0.015987223, gy,0.001065797, gz,0.005328985
46:18.4,1.42111E+12,GGG,gx,0.006394783, gy,0.01705302, gz,0.00959244
46:18.4,1.42111E+12,GGG,gx,0.007460579, gy,0.028777853, gz,0.008526376
46:18.4,1.42111E+12,GGG,gx,-0.003197924, gy,0.008526376, gz,0.001065797
46:18.5,1.42111E+12,GGG,gx,-0.004263721, gy,0.007460579, gz,-0.010659036
46:18.5,1.42111E+12,GGG,gx,0.023448335, gy,0.031975243, gz,-0.014922224
46:18.5,1.42111E+12,GGG,gx,0.019185146, gy,0.035172634, gz,-0.004263721
46:18.5,1.42111E+12,GGG,gx,0.001065797, gy,0.023448335, gz,0.001065797
