52:50.1,1.42111E+12,AAA, ax,-0.6518944, ay,3.8007462, az,9.284892
52:50.1,1.42111E+12,AAA, ax,-0.66416883, ay,3.674409, az,9.280401
52:50.2,1.42111E+12,AAA, ax,-0.44951522, ay,3.456163, az,9.31498
52:50.2,1.42111E+12,AAA, ax,-0.6456075, ay,3.4117053, az,9.511221
52:50.2,1.42111E+12,AAA, ax,-0.671803, ay,3.50571, az,9.341025
52:50.2,1.42111E+12,AAA, ax,-0.658331, ay,3.4712815, az,9.416319
52:50.2,1.42111E+12,AAA, ax,-0.66536635, ay,3.4543667, az,9.325907
52:50.3,1.42111E+12,AAA, ax,-0.5530998, ay,3.300187, az,9.145382
52:50.3,1.42111E+12,AAA, ax,-0.6572832, ay,3.6612365, az,9.28609
52:50.3,1.42111E+12,AAA, ax,-0.71341646, ay,3.588787, az,9.233399
52:50.3,1.42111E+12,AAA, ax,-0.67210233, ay,3.6417768, az,9.184152
52:50.3,1.42111E+12,AAA, ax,-0.5640271, ay,3.5762131, az,9.082812
52:50.4,1.42111E+12,AAA, ax,-0.549657, ay,3.6486626, az,9.29522
52:50.4,1.42111E+12,AAA, ax,-0.5508545, ay,3.5456767, az,9.444011
52:50.4,1.42111E+12,AAA, ax,-0.62390256, ay,3.3724868, az,9.465716
52:50.4,1.42111E+12,AAA, ax,-0.51747394, ay,3.50571, az,9.595346
52:50.4,1.42111E+12,AAA, ax,-0.53289187, ay,3.560047, az,9.352851
52:50.5,1.42111E+12,AAA, ax,-0.62929136, ay,3.6332445, az,9.412726
52:50.5,1.42111E+12,AAA, ax,-0.49172744, ay,3.5784585, az,9.222173
52:50.5,1.42111E+12,AAA, ax,-0.583786, ay,3.534001, az,9.14149
52:50.5,1.42111E+12,AAA, ax,-0.5987549, ay,3.4057178, az,9.1814575
52:50.6,1.42111E+12,AAA, ax,-0.5622308, ay,3.705694, az,9.264534
52:50.6,1.42111E+12,AAA, ax,-0.6544391, ay,3.4687366, az,9.448052
52:50.6,1.42111E+12,AAA, ax,-0.5215155, ay,3.307522, az,9.589658
52:50.6,1.42111E+12,AAA, ax,-0.46687913, ay,3.3855097, az,9.470506
52:50.6,1.42111E+12,AAA, ax,-0.42945695, ay,3.439248, az,9.384285
52:50.6,1.42111E+12,AAA, ax,-0.3583548, ay,3.4953814, az,9.209599
52:50.7,1.42111E+12,AAA, ax,-0.52570677, ay,3.5515146, az,9.323811
52:50.7,1.42111E+12,AAA, ax,-0.42796004, ay,3.529211, az,9.235045
52:50.7,1.42111E+12,AAA, ax,-0.61028093, ay,3.464246, az,9.22816
52:50.7,1.42111E+12,AAA, ax,-0.6861731, ay,3.4326618, az,9.440867
52:50.7,1.42111E+12,AAA, ax,-0.70937485, ay,3.4281712, az,9.514365
52:50.8,1.42111E+12,AAA, ax,-0.68976563, ay,3.3745825, az,9.409583
52:50.8,1.42111E+12,AAA, ax,-0.6581813, ay,3.5190322, az,9.369616
52:50.8,1.42111E+12,AAA, ax,-0.57540345, ay,3.5419345, az,9.364377
52:50.8,1.42111E+12,AAA, ax,-0.52570677, ay,3.608995, az,9.443113
52:50.8,1.42111E+12,AAA, ax,-0.63932055, ay,3.5193315, az,9.304502
52:50.9,1.42111E+12,AAA, ax,-0.56193143, ay,3.4513729, az,9.411978
52:50.9,1.42111E+12,AAA, ax,-0.6942563, ay,3.4149985, az,9.349857
52:50.9,1.42111E+12,AAA, ax,-0.5441185, ay,3.573369, az,9.36752
52:50.9,1.42111E+12,AAA, ax,-0.6110294, ay,3.4117053, az,9.259146
52:50.9,1.42111E+12,AAA, ax,-0.7072792, ay,3.4266741, az,9.375005
52:51.0,1.42111E+12,AAA, ax,-0.56312895, ay,3.3938923, az,9.34342
52:51.0,1.42111E+12,AAA, ax,-0.64545774, ay,3.387905, az,9.30974
52:51.0,1.42111E+12,AAA, ax,-0.6237529, ay,3.2428565, az,9.370664
