35:34.8,1.42111E+12,AAA, ax,-0.99812436, ay,2.8868966, az,9.507479
35:34.8,1.42111E+12,AAA, ax,-1.0615925, ay,3.0097911, az,9.323063
35:34.9,1.42111E+12,AAA, ax,-1.1304492, ay,2.7649004, az,9.267379
35:34.9,1.42111E+12,AAA, ax,-0.9818083, ay,2.7649004, az,9.46377
35:34.9,1.42111E+12,AAA, ax,-1.0572515, ay,2.6851163, az,9.683363
35:34.9,1.42111E+12,AAA, ax,-1.1201206, ay,2.530937, az,9.61286
35:34.9,1.42111E+12,AAA, ax,-0.9449849, ay,2.470313, az,9.629775
35:34.9,1.42111E+12,AAA, ax,-1.019979, ay,2.5634193, az,9.72812
35:35.0,1.42111E+12,AAA, ax,-1.2939093, ay,2.7440937, az,9.859996
35:35.0,1.42111E+12,AAA, ax,-1.2120296, ay,2.7848089, az,9.641002
35:35.0,1.42111E+12,AAA, ax,-1.2298425, ay,3.011288, az,9.452543
35:35.0,1.42111E+12,AAA, ax,-1.3711487, ay,3.2210019, az,9.823622
35:35.0,1.42111E+12,AAA, ax,-1.5925384, ay,3.3477883, az,9.970167
35:35.1,1.42111E+12,AAA, ax,-1.5567627, ay,3.3711398, az,9.850566
35:35.1,1.42111E+12,AAA, ax,-1.1744577, ay,3.5645375, az,9.59834
35:35.1,1.42111E+12,AAA, ax,-1.1972104, ay,3.427273, az,9.382639
35:35.1,1.42111E+12,AAA, ax,-1.2660671, ay,3.3841627, az,9.386531
35:35.1,1.42111E+12,AAA, ax,-1.1461666, ay,3.3341665, az,9.514664
35:35.2,1.42111E+12,AAA, ax,-1.0370435, ay,3.1244526, az,9.456435
35:35.2,1.42111E+12,AAA, ax,-1.0312057, ay,3.3135095, az,9.35345
35:35.2,1.42111E+12,AAA, ax,-0.8096663, ay,3.0937665, az,9.207204
35:35.2,1.42111E+12,AAA, ax,-0.6459068, ay,3.0567935, az,9.0181465
35:35.2,1.42111E+12,AAA, ax,-0.68961596, ay,3.0340407, az,9.075328
35:35.2,1.42111E+12,AAA, ax,-0.6816824, ay,2.8738737, az,9.264235
35:35.3,1.42111E+12,AAA, ax,-0.61537033, ay,2.8223808, az,9.355246
35:35.3,1.42111E+12,AAA, ax,-0.626597, ay,2.8056157, az,9.4877205
35:35.3,1.42111E+12,AAA, ax,-0.703537, ay,2.7660978, az,9.405242
35:35.3,1.42111E+12,AAA, ax,-0.75937086, ay,2.802472, az,9.419911
35:35.4,1.42111E+12,AAA, ax,-1.0509645, ay,2.9231215, az,9.551638
35:35.4,1.42111E+12,AAA, ax,-1.1298505, ay,2.9026139, az,9.586964
35:35.4,1.42111E+12,AAA, ax,-1.0976673, ay,2.9864397, az,9.585916
35:35.4,1.42111E+12,AAA, ax,-0.98105985, ay,2.9644353, az,9.552086
35:35.4,1.42111E+12,AAA, ax,-1.1822416, ay,3.1090348, az,9.494007
35:35.4,1.42111E+12,AAA, ax,-1.3085788, ay,3.421435, az,9.517209
35:35.5,1.42111E+12,AAA, ax,-1.2952565, ay,3.254233, az,9.24253
35:35.5,1.42111E+12,AAA, ax,-1.2563374, ay,3.3524287, az,9.347611
35:35.5,1.42111E+12,AAA, ax,-1.3611195, ay,3.4081128, az,9.394614
35:35.5,1.42111E+12,AAA, ax,-1.2820839, ay,3.4618511, az,9.367071
35:35.6,1.42111E+12,AAA, ax,-1.3132192, ay,3.4271233, az,9.42081
35:35.6,1.42111E+12,AAA, ax,-1.3629158, ay,3.5567536, az,9.196426
35:35.6,1.42111E+12,AAA, ax,-1.1365864, ay,3.3557217, az,9.145232
35:35.6,1.42111E+12,AAA, ax,-0.9780661, ay,3.2242951, az,9.244177
35:35.6,1.42111E+12,AAA, ax,-0.8244855, ay,2.9392877, az,9.262139
35:35.6,1.42111E+12,AAA, ax,-1.0265652, ay,2.9521608, az,9.3613825
35:35.7,1.42111E+12,AAA, ax,-1.031954, ay,3.0710137, az,9.462722
35:35.7,1.42111E+12,AAA, ax,-0.99183744, ay,3.1078372, az,9.4402685
35:35.7,1.42111E+12,AAA, ax,-0.8963361, ay,3.1389725, az,9.28579
35:35.7,1.42111E+12,AAA, ax,-0.95501405, ay,3.2486944, az,9.279802
35:35.8,1.42111E+12,AAA, ax,-1.0467732, ay,3.3576677, az,9.204209
35:35.8,1.42111E+12,AAA, ax,-1.063688, ay,3.264711, az,9.389824
35:35.8,1.42111E+12,AAA, ax,-1.1265574, ay,3.3928444, az,9.400152
35:35.8,1.42111E+12,AAA, ax,-1.0325528, ay,3.1496003, az,9.423354
35:35.8,1.42111E+12,AAA, ax,-1.0063573, ay,3.171455, az,9.449999
35:35.9,1.42111E+12,AAA, ax,-1.1623329, ay,3.182382, az,9.553733
35:35.9,1.42111E+12,AAA, ax,-0.891546, ay,3.14017, az,9.49745
35:35.9,1.42111E+12,AAA, ax,-0.98570025, ay,2.976261, az,9.375304
35:35.9,1.42111E+12,AAA, ax,-0.95621157, ay,3.1537917, az,9.407038
35:35.9,1.42111E+12,AAA, ax,-0.9665401, ay,3.1328351, az,9.178762
35:36.0,1.42111E+12,AAA, ax,-0.9849518, ay,2.9939241, az,9.298813
35:36.0,1.42111E+12,AAA, ax,-1.0138417, ay,3.0720615, az,9.320068
