46:16.2,1.42111E+12,AAA, ax,-0.80652285, ay,3.9308257, az,9.520951
46:16.3,1.42111E+12,AAA, ax,-0.84888476, ay,4.0724316, az,9.339229
46:16.3,1.42111E+12,AAA, ax,-0.8390053, ay,4.218378, az,9.250913
46:16.3,1.42111E+12,AAA, ax,-0.84484315, ay,4.1549096, az,9.231603
46:16.3,1.42111E+12,AAA, ax,-0.7424561, ay,4.1944275, az,9.343121
46:16.3,1.42111E+12,AAA, ax,-0.7008426, ay,3.9398072, az,9.255853
46:16.4,1.42111E+12,AAA, ax,-0.7590715, ay,4.0318656, az,9.246122
46:16.4,1.42111E+12,AAA, ax,-0.65653473, ay,3.928281, az,9.112301
46:16.4,1.42111E+12,AAA, ax,-0.55160296, ay,4.0700364, az,9.134006
46:16.4,1.42111E+12,AAA, ax,-0.82897615, ay,4.0351586, az,8.920849
46:16.4,1.42111E+12,AAA, ax,-0.8744815, ay,3.971092, az,8.930429
46:16.5,1.42111E+12,AAA, ax,-0.67868865, ay,3.9862106, az,9.042247
46:16.5,1.42111E+12,AAA, ax,-0.55399793, ay,4.177064, az,8.910071
46:16.5,1.42111E+12,AAA, ax,-0.65997756, ay,4.199218, az,8.90588
46:16.5,1.42111E+12,AAA, ax,-0.8186476, ay,4.107758, az,9.117241
46:16.5,1.42111E+12,AAA, ax,-0.7240443, ay,4.1698785, az,9.221274
46:16.6,1.42111E+12,AAA, ax,-0.71820647, ay,3.960614, az,9.384435
46:16.6,1.42111E+12,AAA, ax,-0.53423905, ay,4.1335044, az,9.3872795
46:16.6,1.42111E+12,AAA, ax,-0.8140073, ay,4.1074586, az,8.940159
46:16.6,1.42111E+12,AAA, ax,-0.8000862, ay,4.1611967, az,9.003926
46:16.6,1.42111E+12,AAA, ax,-0.7887099, ay,4.107159, az,9.0832615
46:16.7,1.42111E+12,AAA, ax,-0.71790713, ay,4.106261, az,9.164093
46:16.7,1.42111E+12,AAA, ax,-0.60040146, ay,4.1665854, az,8.990455
46:16.7,1.42111E+12,AAA, ax,-0.6572832, ay,4.179758, az,8.850346
46:16.7,1.42111E+12,AAA, ax,-0.6584807, ay,4.261488, az,9.085806
46:16.7,1.42111E+12,AAA, ax,-0.6391708, ay,4.1469765, az,9.180409
46:16.8,1.42111E+12,AAA, ax,-0.6110294, ay,4.002377, az,9.038055
46:16.8,1.42111E+12,AAA, ax,-0.66596514, ay,3.7799397, az,9.074729
46:16.8,1.42111E+12,AAA, ax,-0.8108638, ay,4.1353006, az,9.062155
46:16.8,1.42111E+12,AAA, ax,-0.61552, ay,4.2908273, az,9.091793
46:16.8,1.42111E+12,AAA, ax,-0.53813094, ay,4.1483235, az,8.900492
46:16.9,1.42111E+12,AAA, ax,-0.5893245, ay,4.206852, az,8.918304
46:16.9,1.42111E+12,AAA, ax,-0.7402107, ay,4.16928, az,9.0647
46:16.9,1.42111E+12,AAA, ax,-0.6116281, ay,4.0031257, az,9.198372
46:16.9,1.42111E+12,AAA, ax,-0.5706134, ay,4.147425, az,9.073831
46:16.9,1.42111E+12,AAA, ax,-0.81191164, ay,4.1891885, az,8.960965
46:17.0,1.42111E+12,AAA, ax,-0.8547226, ay,4.117787, az,9.031918
46:17.0,1.42111E+12,AAA, ax,-0.8384065, ay,4.045038, az,9.267827
46:17.0,1.42111E+12,AAA, ax,-0.8402028, ay,4.0122566, az,9.237291
46:17.0,1.42111E+12,AAA, ax,-0.85023195, ay,4.1185355, az,9.197024
46:17.0,1.42111E+12,AAA, ax,-0.88735473, ay,4.214037, az,9.037007
46:17.1,1.42111E+12,AAA, ax,-0.85023195, ay,4.334237, az,8.982671
46:17.1,1.42111E+12,AAA, ax,-0.8107141, ay,4.3652225, az,8.972791
46:17.1,1.42111E+12,AAA, ax,-0.83316743, ay,4.2176294, az,9.216784
46:17.1,1.42111E+12,AAA, ax,-0.8797206, ay,4.19338, az,9.319021
46:17.1,1.42111E+12,AAA, ax,-0.7393126, ay,4.182303, az,9.264235
