,ax Area Under Curve:,ax Average Slope:,ax Avg Peak:,ax Kurtosis:,ax Max Peak:,ax Max:,ax Median:,ax Min Peak:,ax Min:,ax Mode:,ax Skewness:,ax Standard Deviation:,ax Sum:,ax Time To Peak:,ay Area Under Curve:,ay Average Slope:,ay Avg Peak:,ay Kurtosis:,ay Max Peak:,ay Max:,ay Median:,ay Min Peak:,ay Min:,ay Mode:,ay Skewness:,ay Standard Deviation:,ay Sum:,ay Time To Peak:,az Area Under Curve:,az Average Slope:,az Avg Peak:,az Kurtosis:,az Max Peak:,az Max:,az Median:,az Min Peak:,az Min:,az Mode:,az Skewness:,az Standard Deviation:,az Sum:,az Time To Peak:
0,-1.441656536073037,306.4253567025255,-0.08206060833333288,-0.26025498097608324,7.7136097,7.7136097,-3.8320313,-4.382886,-12.341985,-1.4655281767326733,0.7439690455017023,4.230473181363988,-148.01834585,0.24947890611972653,-8.224142788619309,554.4182510183776,-6.6198275347826065,3.669905863120083,1.3689034,1.3689034,-8.67506,-8.800798,-18.112335,-8.41986012970297,0.23668516317614077,2.515502760782546,-850.4058731,0.2656110664027666,0.004624035109304828,343.53883829489854,1.8340221540000001,6.1233629610930045,8.023765,8.023765,0.57001466,-0.96953386,-9.922565,0.1599120248712871,-0.6602747881515947,2.1104159921045533,16.151114511999996,0.2530665332666333
1,-3.6811097065909086,400.2631698899102,-1.6680413045000004,2.797838227979433,3.1322365,3.1322365,-3.4115556,-5.626949,-14.256952,-3.67743722848,-1.1682192310813935,2.9225803508915216,-367.743722848,0.25984848484848483,-8.735883330858583,804.607402882075,-6.956201394444444,1.3335039695432878,6.556815,6.556815,-9.0177725,-12.258308,-19.271824,-9.1082129603,0.38384685434485677,4.843740953980522,-910.82129603,0.22056677890011223,-0.4292893111767667,814.4421962693117,3.1802199633333337,1.3398511541487945,10.900183,10.900183,0.30573921,-6.727161,-15.983612,-0.37810025334,-0.48115410030100714,4.63538491657085,-37.810025334,0.27424242424242423
2,-3.4166107823812117,507.78672022978054,0.4508062329374999,-0.23370901484617157,4.0333624,4.0333624,-2.2226529,-9.24762,-17.599352,-3.348184896886,-0.5966890641578344,4.407497387486509,-334.8184896886,0.26467803030303033,-10.230121774290406,943.2193805399895,-5.334328785000001,-1.0675839498956792,5.419929,5.940846,-10.000404,-17.08158,-19.539917,-9.4323429179,0.33510454326350364,7.449069114343346,-943.23429179,0.23235930735930738,-1.0292653364772726,1093.080785572293,3.3376213376,-0.2255539723197506,13.775404,13.775404,0.5321433950000001,-7.067104,-18.09542,-0.8435243975,-0.22926151671530448,6.652898805829144,-84.35243975,0.25993939393939397
3,-2.7367979421151514,942.6590086060971,1.3664907411764708,-0.8416923504203977,7.5073385,7.5073385,-1.1851603499999999,-10.835816,-14.549145,-2.70938977034,-0.40823653031548357,5.472237353990833,-270.938977034,0.2617052881758764,-9.32988376912374,1534.5414115435117,-7.139456458823529,-1.1396773769128419,7.293433,7.293433,-11.2082425,-18.32175,-19.508331,-9.6697462117,0.37215439697128855,8.002647135897265,-966.97462117,0.27118241235888296,-0.9599103830214638,1541.0240760574716,3.00113638,-0.22522594561151,12.610826,12.610826,-0.0812809725,-6.7145867,-18.941011,-1.05491627035,-0.29487185208872163,7.097115015422075,-105.49162703500001,0.26198347107438014
4,-1.7990748404186871,867.267234234125,1.8547577317647057,-0.7380608228524559,8.008347,8.008347,-0.585058365,-8.049661,-15.7924595,-1.83417335634,-0.3904585508281517,5.401316068315376,-183.417335634,0.27204396910279266,-9.740132381641413,1305.802182006546,-5.745053185624999,-1.3036833622341821,5.620512,5.620512,-9.137149,-19.18755,-19.527641,-9.1347991205,0.21360231609824223,7.943490529513501,-913.47991205,0.262405303030303,-0.3141741001338383,1130.921478144323,3.1235046010416663,-0.36561629004540297,13.355227,13.355227,0.2076931,-7.286398,-16.031363,-0.5978792028500001,-0.30160562347823566,6.894179048910024,-59.787920285000006,0.25984848484848483
5,-1.5292919370624347,1507.152957982219,2.926601675,-0.6045667583160661,11.737392,11.737392,-1.2725039,-9.433682,-15.0133295,-1.886339457979798,-0.07553203777392886,5.372884281798457,-186.74760634,0.2663126919140225,-9.247090601233367,1959.106241853974,-4.725757050000001,-1.383519526352492,4.8277607,4.8277607,-9.689651,-19.41328,-19.563568,-9.346609097272728,0.19983549085744862,8.030494745572234,-925.31430063,0.28320112589559876,-0.6299327599467773,1221.1284743405658,4.320261439545454,0.16438263887977866,12.0414095,12.0414095,0.4788542,-6.5123577,-18.174456,-0.38375953955555553,-0.4604659388204379,6.779132926330954,-37.992194416,0.2759839955336373
6,-0.6124440782034886,910.0655718728812,2.6720372625000004,-0.8505440865588447,7.7320213,7.7320213,0.15058685,-8.206684,-14.16205,-0.9015354402857143,-0.48026958334236197,4.876537901073599,-88.35047314799999,0.251453488372093,-9.519091732756342,1156.233998581018,-4.729203068333334,-1.3878368992285985,4.508624,4.753814,-10.1443295,-18.064135,-19.579433,-9.383394788112245,0.17517277552475707,7.982289642937935,-919.572689235,0.2626409443269908,-1.2217808885332975,896.3248573510608,2.673855087692308,-0.10423158493699392,12.602143,12.602143,-0.4916526,-7.3389387,-15.593373,-1.0073210735510203,-0.16439694562086976,6.018938861431598,-98.717465208,0.24802813465604162
7,-0.9655814302251876,946.9572008528445,4.18524986875,-0.7940328990453085,9.039402,9.039402,0.04011658,-8.531209,-14.186599,-0.7551414433921568,-0.45912372428273307,5.497171000552952,-77.024427226,0.2783690176322418,-10.720704145002518,1469.5185071618964,-4.125912966642858,-1.3078241476493162,5.760321,5.760321,-10.657313,-18.503922,-19.577938,-9.990404257715687,0.29575210264643803,7.880109028492605,-1019.021234287,0.2433249370277078,-0.3472631305062979,1438.1757072946118,4.126097476666668,-0.2907299118718387,14.904506,14.904506,-0.069455565,-6.4878087,-17.540674,-0.6432329792156862,-0.16247793175477626,7.409605596654099,-65.60976388,0.2547812295923127
8,-0.7246835507232551,958.0667211624061,4.66720448,-0.4563041024684136,8.889265,8.889265,0.66955763,-6.0382934,-14.773378,-0.7921200997029703,-0.557878210320314,5.233860961989274,-80.00413007,0.2871923656454043,-7.9023360219412355,1497.5367734489055,-1.7782485842857143,-1.370066752435077,5.945486,5.945486,-8.407267,-18.058447,-19.580631,-8.70870454039604,0.15052156706255365,8.307397985674097,-879.57915858,0.2784673889646265,-0.9692068555339012,1336.8982619042629,4.061990543333333,-0.28193806914830155,15.0012045,15.0012045,0.13352233,-7.469018,-18.346449,-0.6466152685782178,-0.008130129872705791,7.4881179144494325,-65.3081421264,0.2709693621295831
9,-0.5555351063946953,1208.0563977407219,3.120993172222222,-1.0545081098658922,7.806117,7.806117,0.6090834,-6.266868,-12.786111,-0.9587910407878788,-0.305197488091042,5.146143625108996,-94.920313038,0.26990197744914723,-9.480454653357981,1341.324004301605,-2.620750268461539,-1.4213159550734757,5.8368125,5.8368125,-10.872491,-18.44225,-19.581081,-9.51719380050505,0.23771763260595127,8.32958260014171,-942.20218625,0.27748793786529635,-0.16101952792452906,1224.415571031255,3.8115778356000005,-0.18129997494322936,15.363602,15.363602,0.88181627,-7.5080867,-18.006805,-0.13189088252525252,-0.2999913320471641,7.113745820808533,-13.057197369999999,0.25768485466598673
