,gx Area Under Curve:,gx Average Slope:,gx Avg Peak:,gx Kurtosis:,gx Max Peak:,gx Max:,gx Median:,gx Min Peak:,gx Min:,gx Mode:,gx Skewness:,gx Standard Deviation:,gx Sum:,gx Time To Peak:,gy Area Under Curve:,gy Average Slope:,gy Avg Peak:,gy Kurtosis:,gy Max Peak:,gy Max:,gy Median:,gy Min Peak:,gy Min:,gy Mode:,gy Skewness:,gy Standard Deviation:,gy Sum:,gy Time To Peak:,gz Area Under Curve:,gz Average Slope:,gz Avg Peak:,gz Kurtosis:,gz Max Peak:,gz Max:,gz Median:,gz Min Peak:,gz Min:,gz Mode:,gz Skewness:,gz Standard Deviation:,gz Sum:,gz Time To Peak:
46,-0.31238211497676777,37.89273178310707,0.15499196083333333,-1.2512190078504126,1.9473073,1.9473073,0.31602400500000005,-2.4418628,-3.2540405,-0.31843367044,-0.40387366982738965,1.5685778097421068,-31.843367044,0.27744107744107743,-0.19991503416944473,85.85167558270415,0.34049777230769224,-0.23506388271497913,2.8191729,2.8191729,-0.17586557,-1.1948181,-3.952172,-0.18193026669,-0.03998184860952781,1.4145804155453006,-18.193026669,0.293006993006993,-0.11500284878101004,21.251438001550895,0.05232317636363636,-0.5914361340538603,0.8239019,0.8239019,-0.141225435,-0.920895,-1.075443,-0.118053877548,-0.06268372030062346,0.4435943513169038,-11.8053877548,0.26492194674012853
47,0.26922796687026757,50.295715591338734,0.6126858183333334,-0.3260835583459465,1.9558343,1.9558343,0.6928021799999999,-2.0069957,-3.4213789,0.27156761606,-0.9459299159489364,1.4393119932464489,27.156761606,0.27355712603062426,0.1300153830535082,106.27621093772925,0.645600294,-0.5423728352677823,2.7818682,2.7818682,0.075142156,-1.4250418,-2.2745242,0.18426385267,0.12221206800403007,1.226177696847522,18.426385267,0.2877334679454821,0.03681321167006557,28.39275575963533,0.3157819545454546,0.005080270024916622,0.96992326,0.96992326,0.046364302499999996,-0.2792532,-1.4410295,0.020176216754,-0.36948431571202667,0.503153112944112,2.0176216754,0.2862649717773393
48,0.1453695166348484,82.077240968558,0.8716873033333332,0.8300240430839052,1.3834728,1.3834728,0.46950665,-0.47963265,-2.4493237,0.18091705556,-1.1877849593686216,0.8635658016062246,18.091705556,0.27824074074074073,-0.20582000293020192,120.89553164968645,0.3590726685000001,2.7353963435631385,1.9632955,1.9632955,-0.20357776,-0.32188722,-2.780803,-0.250517716328,-0.7333945104823903,0.7384493046767172,-25.0517716328,0.2598765432098765,0.0339841699262121,45.911219493023665,0.29779821539999995,0.407305468435327,1.3067319,1.3067319,0.10765083,-0.6970659,-1.1809623,0.030014039036,-0.23183807030579118,0.4434315491050356,3.0014039036,0.33090909090909093
49,-0.5935883005714285,60.09156546799298,0.3437954244444444,-1.2254769858055774,1.531626,1.531626,-0.490291415,-1.609434,-2.7850661,-0.5894044821938775,-0.22872028601454367,1.2517905575225259,-57.761639255,0.2226907983365548,-1.2825420623165522,106.22650297782342,-0.4392559172941176,-0.28044132875035466,1.0839691,1.0839691,-1.0754427500000001,-2.85861,-4.5064144,-1.2260867151428572,-0.3355083859516014,1.1420702996423555,-120.156498084,0.23538714378740425,-0.23953758206088563,24.054617562814613,0.29428081959999997,0.2190616366949678,1.8289983,1.8289983,-0.1028547425,-0.81430995,-1.7757063,-0.22284996235204083,0.09491669647342996,0.654341783441079,-21.8392963105,0.28292040063257773
50,0.5755565010598376,137.3801529716994,0.6574651061538462,-0.1516626062177786,1.8812248,1.8812248,0.6640242000000001,-2.1860588,-3.5620708,0.24529146598039214,-0.9407323150235237,1.373142822631934,25.01972953,0.26400374473396787,0.29766283795309345,247.12680419220706,0.5435831805882354,-0.5614448187828422,2.9961042,2.9961042,-0.0479635315,-0.98591155,-2.7999883,0.1691981235980392,0.2196450206868302,1.3779848061516664,17.258208607,0.26255816728314046,-0.031959603599898564,56.11147978187525,0.06334162457142861,-0.9027394565525926,0.7130531,0.7770041,-0.172135275,-0.7791368,-1.118077,-0.11798574283333334,-0.11737395158953416,0.4956065942416863,-12.034545769,0.25858446827006665
51,0.15157163374999996,44.63675210129156,0.42127689166666665,0.027875338827684448,1.766113,1.766113,0.5473136999999999,-2.7200494,-3.1975503,0.135778325,-1.0950137768061428,1.399858811962767,13.577832500000001,0.3183922558922559,0.07280694978156567,72.99303111197342,0.5174031960000001,0.5370967302879412,2.4290717,2.4290717,0.11031505999999999,-1.5017831,-3.790163,0.07437470416,-0.6154590364714088,1.2592234574417391,7.437470416,0.2838699494949495,-0.04750705955252527,42.994120364189214,0.07013266929999999,-0.5968702658359581,0.693868,0.82816505,0.06554945000000001,-0.6491029,-1.0146894,-0.01328079739,-0.24436002498126644,0.41213909282242306,-1.328079739,0.2769191919191919
52,-0.10639347044843278,80.41008837040302,0.22542702083333335,-0.8502305859366035,1.9515711,1.9515711,0.29897058,-2.2212317,-3.1751673,-0.16886291236,-0.5301764172046056,1.4451707530057558,-16.886291236,0.29052915402763735,0.011876252078109313,194.34832038279097,0.6845595484666666,-0.07668061048633357,2.42694,2.42694,0.0330410415,-0.9784507,-3.0898993,-0.061478556020000005,-0.3386030411797877,1.2890152244132593,-6.147855602000001,0.25497135153353556,-0.0017747437199191088,26.32710016480485,0.22576618454545452,1.218515263666716,0.81644076,0.81644076,0.10445317200000001,-0.23022388,-1.4452927,0.010999260890000001,-1.0446343180589714,0.44377209525305145,1.0999260890000002,0.2497931795201765
53,-0.07359269446563911,71.67733152421954,0.2635105661538461,-0.7271791053122287,1.9270564,1.9270564,0.5180027,-2.510077,-3.3318472,-0.06101215267676768,-0.6661561634854731,1.4178957743247407,-6.040203115,0.2924165273836825,-0.42332048561773605,121.4298288820815,0.05359669785714282,0.3836929787842527,2.3811085,2.3811085,-0.36665285,-1.3610908,-3.8647726,-0.4049264102727273,0.026114229144037583,1.1815310223536075,-40.087714617,0.29177795423374,-0.06577036594441633,39.677972243810935,0.07790361727272731,-0.6396755806275789,0.9294206,0.9294206,-0.11511194,-0.7034612,-1.3152593,-0.07772123521717171,-0.10975174090015093,0.5047730897329321,-7.6944022865,0.3159079424870228
54,0.06476728787580811,82.22599554500984,0.7084346725000001,0.2743723876526234,1.9846125,1.9846125,0.242480545,-1.3664198,-2.2457464,0.06030547421600001,-0.7368032828591993,0.8850698247345885,6.030547421600001,0.2518097643097643,-0.6787351973936867,119.71029816014239,-0.12646029811764709,0.02988446017760893,2.4823642,2.4823642,-0.62831895,-2.3480678,-3.1154797,-0.68212298562,0.1305258528713626,1.0602226168785072,-68.212298562,0.24105763517528223,-0.10426519489848476,45.75131760520534,0.2612297836363637,1.7736374497768077,1.4218436,1.4218436,-0.13962660500000001,-0.56383514,-0.9113018,-0.09557507976,1.1138258842986042,0.4708416212031798,-9.557507976,0.26799816345270894
55,-0.008809062010863993,44.4290904994276,-0.13516947363636367,-0.44552313316985526,1.8034178,1.8034178,0.343203425,-2.6433084,-2.7754738,-0.03410752625999999,-0.8070192776369169,1.3314974368457433,-3.4107526259999994,0.2431439202535716,-0.13599504573648313,85.74065795493645,0.16905988800000002,0.20758145246203652,2.5878835,2.5878835,-0.082070902,-1.4836636,-3.106953,-0.148260064509,0.026644082948377924,1.2485446825473305,-14.826006450900001,0.22427799587981498,-0.0957700890411824,23.633535002226235,0.0417809784,0.2340871251342027,0.9208942,0.9208942,-0.12470478,-0.6885395,-1.614763,-0.09588417689999999,-0.2587387602583364,0.49620752919779004,-9.58841769,0.2760990399191511
