,gx Area Under Curve:,gx Average Slope:,gx Avg Peak:,gx Kurtosis:,gx Max Peak:,gx Max:,gx Median:,gx Min Peak:,gx Min:,gx Mode:,gx Skewness:,gx Standard Deviation:,gx Sum:,gx Time To Peak:,gy Area Under Curve:,gy Average Slope:,gy Avg Peak:,gy Kurtosis:,gy Max Peak:,gy Max:,gy Median:,gy Min Peak:,gy Min:,gy Mode:,gy Skewness:,gy Standard Deviation:,gy Sum:,gy Time To Peak:,gz Area Under Curve:,gz Average Slope:,gz Avg Peak:,gz Kurtosis:,gz Max Peak:,gz Max:,gz Median:,gz Min Peak:,gz Min:,gz Mode:,gz Skewness:,gz Standard Deviation:,gz Sum:,"gz Time To Peak:
",ax Area Under Curve:,ax Average Slope:,ax Avg Peak:,ax Kurtosis:,ax Max Peak:,ax Max:,ax Median:,ax Min Peak:,ax Min:,ax Mode:,ax Skewness:,ax Standard Deviation:,ax Sum:,ax Time To Peak:,ay Area Under Curve:,ay Average Slope:,ay Avg Peak:,ay Kurtosis:,ay Max Peak:,ay Max:,ay Median:,ay Min Peak:,ay Min:,ay Mode:,ay Skewness:,ay Standard Deviation:,ay Sum:,ay Time To Peak:,az Area Under Curve:,az Average Slope:,az Avg Peak:,az Kurtosis:,az Max Peak:,az Max:,az Median:,az Min Peak:,az Min:,az Mode:,az Skewness:,az Standard Deviation:,az Sum:,"az Time To Peak:
"
46,-0.10867286086179893,75.74720237051794,0.5197791808333333,-0.7211456172857305,1.3834728,1.3834728,-0.05968783,-0.5958104,-2.0421689,-0.11240982088888889,-0.3022444375190583,0.8754758457155589,-11.128572268000001,0.23576722250294763,0.35870128506745835,107.43148398080234,0.7872701198947368,-0.014397206946966001,2.6006737,2.6006737,0.40395707,-0.84415364,-1.6723189,0.37133535946464646,0.022362163028450517,0.7895922549860546,36.762200587,0.2609505066354618,-0.01166111887614959,39.13558638317144,0.2434575749166666,2.395258853706599,0.8239019,0.8239019,0.054358315,-0.50947684,-1.7106895,-0.01176772988888889,-1.1885001409974942,0.44121633187610015,-1.1650052590000002,"0.28983493346808153
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.09278539620463813,114.8038930619256,0.5023196007142856,1.0986996169650887,1.5071117,1.5071117,0.16733813,-1.1980158,-2.4589164,0.08773313213131313,-0.8239679559325186,0.8291703051305257,8.685580081,0.26587301587301587,0.9216445705828235,110.16250927694017,1.6330151343750001,0.26577537148296315,2.8383582,2.8383582,0.99230605,0.33147913,-1.6627265,0.8983604996161616,-0.24284666242578296,0.7804329107898813,88.937689462,0.2776503567787971,0.035902057353007194,65.42992249516503,0.3186068381538461,2.1231029983670195,1.3525634,1.3525634,0.02557993,-0.392233,-0.72158056,0.05518703605454545,0.6920462841226944,0.35417601993976966,5.4635165694,"0.24731435740610053
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-0.0646798993995216,52.22368539805428,0.5246885790909089,0.3892172449167739,1.6552649,1.6552649,-0.028778385,-0.41781348,-2.0400374,-0.04579889872989691,-0.435025328543398,0.7446084122563208,-4.4424931768,0.2917109458023379,0.3478247264245482,86.43815501701154,0.6268210225714286,3.291054327782593,3.1858253,3.1858253,0.27285737,-0.6469713,-1.215069,0.2840652164639175,0.9016031732649581,0.6422004309441318,27.554325997,0.24252315166236527,0.01569093799590864,35.81715463450006,0.163572064,3.3944687065730355,1.0349398,1.0349398,0.052226186,-0.30803105,-1.4527539,0.02677776268659794,-0.6899539715678507,0.3931790659586764,2.5974429806,"0.2928444916755225
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-0.021093707175239673,69.99840590300714,0.16021028587499997,-0.4191439307369276,1.3248513,1.3248513,-0.20784108,-0.47643524,-1.4868612,-0.07605853896116505,0.4430585989218149,0.6534233234981275,-7.834029513,0.29232854261220376,0.009502269495713584,126.02980448437857,0.4245214401764706,1.882939990911292,2.469574,2.469574,-0.17160238,-0.30163574,-1.5284294,-0.05859103911650486,0.758205307500361,0.623643769865772,-6.0348770290000004,0.2816291418231438,-0.04351713533888053,46.47287159110599,0.0882367870714286,1.8733076399709399,1.0679814,1.0679814,0.008526376,-0.93155324,-1.3472346,-0.033258963242718445,-0.4690578946287749,0.4070922694916233,-3.425673214,"0.2967005258987105
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-0.04240796909934502,71.93267921267702,0.3554251906666667,-0.17312280287864867,1.4271729,1.4271729,-0.21210428,-0.9443433,-2.1444902,-0.04937391959393939,-0.09869538173869258,0.7722724176831992,-4.8880180398,0.28557514693534847,-0.028962432878589288,103.02340846175413,0.39069292894444446,0.31342027217744706,2.1391606,2.1391606,-0.13216549,-0.44339395,-1.7479943,-0.07631086250505051,0.19133876855795579,0.6645131475705445,-7.554775388,0.2633361321018752,-0.09872806980226699,53.37137078685934,0.13740546783333338,0.3102142450619012,0.9379475,0.9379475,0.001065797,-0.48922536,-1.4740705,-0.06924824529292929,-0.5326916165163468,0.500245316233745,-6.8555762840000005,"0.3081024349286314
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.08809783137039842,62.02212208430764,0.6830572364285715,-0.9446714912158933,1.753323,1.753323,-0.01279063,-0.61712766,-1.9132011,0.1090070385959596,-0.02977487212430599,0.8584267143579435,10.791696821,0.23135941214609898,-0.03018189097468459,142.8945726622548,0.6599291769473684,3.394324495526841,3.558873,3.558873,0.002131594,-0.7173174,-2.4557188,0.05492867619595959,0.6421513276888694,0.7893195390389266,5.4379389434,0.2705364015181676,0.07360812480257177,42.513531726792934,0.36892595193333333,1.5928053448296682,0.96885747,0.96885747,0.049028795,-0.10658503,-1.6286192,0.0630678692020202,-0.9146510463659484,0.5182339769998009,6.243719050999999,"0.23516557404605815
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.09843367401009585,44.94681809503258,0.6372810600000001,-0.049416198057564475,1.6616596,1.6616596,0.122572387,-0.3986281,-1.8215377,0.08677052192,-0.4412814041816596,0.7500015632486481,8.677052192,0.2814005782203662,0.4602115039254419,71.94597286515138,1.0646506145625,0.19207763009577894,3.4938557,3.4938557,0.24567821,-0.09699259,-1.4175807,0.460542813462,0.6012364226393485,0.893504596732298,46.0542813462,0.24876956082786472,0.04299415517087321,28.785637495013084,0.28999969216666666,0.9247523616716395,0.963528,0.963528,0.080471403,-0.099124454,-1.2417153,0.050574245472,-0.6056524665076047,0.40548033145238316,5.0574245472,"0.2915615009254585
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-0.0934034294033317,49.412753696926224,0.14836603199999995,0.6290355819081781,1.6808454,1.6808454,0.07833981,-1.5934463,-2.9811828,-0.13296510066,-0.8334556392980516,0.9999358293409685,-13.296510066,0.25835436648157495,0.8461460225683998,64.77043735766063,1.3249765888235294,-0.59953080750293,2.5154057,2.5154057,0.80365053,0.16414073,-1.1862912,0.807999243485,0.08092036720882445,0.8007457236663766,80.7999243485,0.2539418594292841,-0.018814091833669864,21.970836450626592,0.18091001446666663,0.7574888783966753,1.1713691,1.1713691,-0.004263720999999999,-0.4615133,-0.66722226,-0.03513071637,0.6617841730523103,0.35237082599022335,-3.513071637,"0.29301699478377924
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.03230946825000004,44.41716049142789,0.47785576933333335,1.478332115970872,2.0922632,2.0922632,0.2147685,-1.0946282,-2.3779118,0.05593549461999999,-1.0892199240060751,0.8173159978615694,5.5935494619999995,0.2864983164983165,0.2996954612603535,68.64175528474847,0.7329714556250001,-0.3240730901353137,1.9760858,1.9760858,0.3138927,-0.7279759,-1.2747569,0.27903923271,0.16303034624368745,0.6455550554040204,27.903923271,0.25053661616161615,0.009936592920656552,25.311155683624214,0.2130808571666666,0.8598781414807455,1.0157547,1.0157547,0.0586213695,-0.3613236,-0.86760247,0.033883061965,0.04792694103326918,0.33641678503781264,3.3883061965,"0.26792929292929296
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,-0.10301305985438147,44.520918082093026,0.12763517018749998,0.0720234182370163,1.5177698,1.5177698,-0.29310885,-0.5243985,-2.2436147,-0.11715590178350516,-0.13939752125009167,0.7603113236716806,-11.364122473,0.2766430412371134,-0.08793073209639181,76.52560378833006,0.16573937408,0.06916562630290057,1.9174638,1.9174638,-0.19931445,-0.99443847,-1.8854887,-0.05367738470515464,0.40252955269842594,0.6804562116556578,-5.2067063164,0.27518041237113405,0.007916639571907228,23.70168957540483,0.16573941083333335,2.432379223686911,0.7460947,0.7460947,0.045831405,-0.43699864,-1.1884228,0.001724824061855672,-0.8942663304096897,0.3318061806545315,0.1673079340000002,"0.2871993127147766
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
